name,Unnamed: 0,survey,survey_location,id,limit,year,speed,latitude,longitude
ABBOTTS ROAD,128640.5,15674.0,2494.0,21955.5,75.0,2012.0,69.3446873027,-38.033586845,145.2274537
ABERDEEN STREET,148877.5,15963.3333333,1.5,7440.0,50.0,2012.0,55.1114583677,-38.1460619467,144.341249017
AITKEN STREET,136629.5,14970.0,9501.5,9764.5,60.0,2011.0,46.8881250026,-37.48689321,144.5913852
AITKIN STREET,142021.5,15032.0,9625.5,7249.0,60.0,2013.0,58.8458333015,-37.18809182,145.7057013
ALBERT ROAD,139822.5,15006.0,9573.4893617,10103.4468085,60.0,2012.0,58.6816488631,-36.36121363,146.6889656
ALBERT STREET,155408.0,17177.25,1822.875,12902.5625,58.75,2011.875,58.6476887228,-37.5600614487,144.095161888
ALBION STREET,126729.5,14736.0,9067.0,11638.75,60.0,2011.0,47.5859504494,-37.0368258,145.0055713
ALEXANDER BOULEVARD,89215.5,13338.0,5362.5,11667.5,80.0,2013.0,79.791666587,-38.31846342,146.4183077
ALEXANDER PARADE,176737.5,18542.0,1.5,12199.0,60.0,2013.0,59.7552084126,-37.82417211,147.6429881
ALEXANDERS ROAD,50751.5,10888.0,2491.5,11675.5,80.0,2013.0,74.3531249366,-38.23391765,146.3949517
ALFRED STREET,177793.5,18554.0,1.5,10509.0,60.0,2012.0,39.6411458651,-38.16416865,145.9306498
ANAKIE ROAD,203725.5,19184.0,1.5,30453.5,100.0,2013.0,90.9070310596,-38.0535548,144.3169385
ANDERSON ROAD,118029.5,14518.0,8664.5,10258.0,60.0,2011.0,61.0720052129,-37.7889428,144.8267772
ANDERSON STREET,143930.329787,15592.5212766,5828.31382979,8714.31914894,60.0,2012.24468085,58.8225665346,-37.5596293191,145.277803067
ANGLESEA ROAD,206520.5,19297.5,1.5,31423.5,95.0,2013.0,96.3342443096,-38.2530876025,144.2765228
ANZAC AVENUE,139439.5,15002.0,9565.5,13300.0,60.0,2013.0,55.2817709049,-37.02746205,145.1412156
ANZAC PARADE,159269.5,17370.0,2.0,7759.0,80.0,2013.0,79.2177084287,-36.14420078,146.9216466
ANZAC STREET,143167.5,15050.0,9661.5,10134.0,60.0,2012.0,44.0244791908,-38.17503774,146.2652417
APSLEY-NATIMUK ROAD,91176.1744186,13532.0232558,4288.15697674,8969.44767442,100.0,2012.24418605,100.890769247,-36.7307790892,141.47558537
ARARAT-HALLS GAP ROAD,93889.0747126,12946.2413793,6034.01149425,8208.34482759,80.2298850575,2012.49425287,91.1541663418,-37.2054888564,142.651904995
ARARAT-STAWELL ROAD,92388.6684211,12922.7368421,5975.50526316,9328.88421053,84.8421052632,2012.0,75.2243157638,-37.0734692776,142.790020178
ARARAT-WARRNAMBOOL ROAD,80073.1760563,12874.3661972,5089.04225352,8851.61971831,100.0,2012.0,100.224911004,-37.494264529,142.870062795
ARNOLD STREET,28315.5,10434.0,1518.5,9191.5,60.0,2011.0,58.8993228271,-36.74750984,144.2789714
ARTHUR,114813.5,14469.0,8566.5,13610.0,50.0,2011.0,47.3407812716,-37.76856318,144.9925428
ASHBY STREET,144602.5,15065.0,9691.4893617,11813.4468085,60.0,2013.0,56.9718085146,-38.21350538,146.1530672
ASHLEY STREET,8663.5,1133.0,57.5,11798.5,60.0,2009.0,61.9558530048,-37.78832408,144.8640542
ASLING STREET,182151.5,18633.0,1.5,13612.0,50.0,2011.0,46.3420573277,-37.89976657,145.0026471
AUBURN ROAD,113901.5,14454.0,8536.5,9516.5,60.0,2011.0,51.9672916134,-37.81637395,145.0461937
AUSTIN STREET,163731.5,17429.0,1.52272727273,9542.15909091,60.0,2012.0,40.0767044805,-35.73321346,142.3621969
AVALON ROAD,106017.5,14104.0,7923.5,13623.0,60.0,2012.0,48.8130208653,-38.02684692,144.4287854
AVENEL-NAGAMBIE ROAD,88983.5,13277.0,5074.5,9743.0,100.0,2012.0,91.3948861026,-36.86888918,145.1519782
AVENUE OF HONOUR,119353.5,15092.5,1757.0,9236.0,92.5,2012.0,85.4317839143,-37.33431154,144.52669235
AVIATION ROAD,123289.5,14601.0,8799.5,13625.5,80.0,2011.0,85.6085415677,-37.92624978,144.7074375
AYRESFORD ROAD,119136.706897,14965.9310345,775.344827586,8625.51724138,100.0,2012.51724138,96.4225572401,-38.407948499,142.860614059
BACCHUS MARSH ROAD,130733.5,14858.0,9284.5,8618.5,100.0,2013.0,63.5880208015,-38.07038116,144.3587425
BACCHUS MARSH-BALLIANG ROAD,108847.5,14304.0,8241.5,13626.5,80.0,2012.0,88.582551639,-37.70109041,144.4069225
BACCHUS MARSH-GEELONG ROAD,129846.166667,14966.0,5872.83333333,15886.8333333,80.0,2013.0,80.7934026048,-37.7679060067,144.420791
BACCHUS MARSH-GISBORNE ROAD,23977.5,10266.0,1382.5,9116.5,100.0,2013.0,94.983333273,-37.47908477,144.5249989
BACK BEACH ROAD,76756.9651163,12668.0,5466.8372093,8283.08139535,78.1395348837,2013.0,82.3094476426,-38.4972378977,145.219372869
BAILEY ROAD,185409.5,18672.0,1.5,13633.5,60.0,2011.0,67.479140759,-37.93538759,145.4853442
BAILLIE STREET,145177.5,15085.0,9727.5,6319.0,60.0,2011.0,47.594166537,-36.71176764,142.2035761
BAIRNSDALE-DARGO ROAD,84272.5,12926.0,3607.56410256,10903.4102564,100.0,2012.0,97.8637816562,-37.79523341,147.4133915
BAIRNSDALE-LINDENOW ROAD,37401.5,10641.0,1998.5,10247.0,80.0,2012.0,82.1242707571,-37.84302967,147.5862328
BAIRNSDALE-PAYNESVILLE ROAD,161409.5,17522.75,1.5,13462.0,80.0,2013.0,83.056900958,-37.85992567,147.649492775
BALACLAVA ROAD,142693.5,15042.0,9645.5,9794.5,60.0,2013.0,58.3218749761,-36.36803353,145.417595
BALLAN ROAD,190135.5,18794.0,1.5,31371.5,100.0,2012.0,88.8463543254,-37.85582834,144.5898262
BALLAN-DAYLESFORD ROAD,175634.5,18469.0526316,1.50526315789,9056.13684211,80.0,2012.0,85.2518419768,-37.5781556618,144.198950891
BALLAR,132810.563158,14837.0631579,9266.26315789,9928.29473684,79.7894736842,2010.98947368,77.1453946761,-38.1305381699,145.300212285
BALLARAT ROAD,128887.5,13573.5,12.25,18629.0,66.25,2011.0,74.0246528833,7.72285647375,99.126079535
BALLARAT-BURRUMBEET ROAD,31729.5,10478.0,1738.5,8736.0,80.0,2012.5,82.5140625239,-37.560760665,143.915369
BALLARAT-CARNGHAM ROAD,124335.5,14621.0,8835.5,8688.5,100.0,2013.0,102.272915879,-37.56269827,143.748461
BALLARAT-DAYLESFORD ROAD,58245.5,11704.0,2401.0,9205.5,85.0,2013.0,76.4523435821,-37.53462821,143.9384046
BALLARAT-MARYBOROUGH ROAD,90604.6157895,13285.3894737,6947.21052632,9670.84210526,94.9473684211,2012.25263158,93.9955913924,-37.2472247766,143.741394151
BALLENDELLAROAD,68533.5,12308.0,5742.47727273,8757.84090909,100.0,2011.0,98.8083786452,-36.29928908,144.6445257
BALWYN ROAD,180663.5,18611.0,1.5,11931.0,60.0,2011.0,54.0630206668,-37.82106235,145.0797871
BAMBRA ROAD,182247.5,18634.0,1.5,13640.5,60.0,2011.0,56.8121875721,-37.8949681,145.0274076
BANK STREET,144411.5,15063.0,9687.5,11698.5,60.0,2013.0,64.2635417381,-38.2022529,146.52559
BANKSIA STREET,183303.5,18646.0,1.5,31225.5,50.0,2011.0,45.1809637943,-37.75830208,145.0561234
BARKER STREET,106929.5,14216.0,8075.5,13035.0,60.0,2011.0,58.177968621,-37.06046556,144.217668
BARKERS ROAD,102569.5,13968.0,7664.5,11430.5,60.0,2005.0,58.8776041667,-37.81425821,145.0331043
BARKLY STREET,145628.437173,15601.3769634,7118.28795812,10128.2565445,57.4869109948,2011.4973822,54.7868716404,-37.4846291646,143.653785188
BARMAH-SHEPPAR,92250.5,12900.5,5944.5,9723.0,100.0,2013.0,99.8197910572,-36.19326257,145.23943825
BARNARD STREET,75158.5,12465.0,5002.5,9035.0,60.0,2011.0,52.2206510498,-36.75495837,144.274666825
BARNAWARTHA ROAD,42865.5,10736.0,2197.5,9850.5,100.0,2013.0,99.7997395222,-36.05405121,146.6813087
BARRABOOL ROAD,160386.166667,17282.3333333,3029.5,17690.6666667,60.0,2012.33333333,58.5502604645,-7.75276169167,113.895741178
BARRY ROAD,55797.5,11057.0,2816.5,11706.5,100.0,2013.0,92.2925592157,-38.67598671,146.3935033
BARWON HEADS ROAD,127395.5,14761.0,9091.5,8371.0,60.0,2013.0,64.3291667304,-38.21684836,144.3679056
BASS HIGHWAY,116943.5,15173.7777778,1527.11111111,12994.6666667,95.5555555556,2012.88888889,94.6973953503,-38.5021888767,145.602325333
BAXTER-,121569.5,14581.0,8682.5,10804.5,100.0,2011.0,96.8477334969,-38.20258326,145.2818822
BAY STREET,95677.5,13627.0,6944.5,10670.5,60.0,2006.0,41.5624999996,-37.84004839,144.9409843
