name,Unnamed: 0,object,location,latitude,longitude,flow,id,median,vehicles,trucks,year
ABBOTSFORD STREET,6569.25,8114.875,168420.375,-37.80190875,144.945651,9025.875,7189.75,3250.0,2900.0,,2015.0
ABBOTTS ROAD,11060.0,12196.7,186022.9,-38.0336756,145.2285306,14327.6,5055.4,9450.0,8530.0,1058.33333333,2015.0
ABECKETT ROAD,7793.5,9520.66666667,170366.0,-37.979295,145.323343,9277.66666667,7197.0,865.0,780.0,50.0,2015.0
ABERDEEN STREET,5241.375,2992.375,163445.5,-38.1449345,144.33593875,4751.5,1219.5,6387.5,6775.0,416.25,2015.0
ACHERON WAY,6719.66666667,6720.66666667,167360.333333,-37.648358,145.727029,6908.0,2355.0,16.6666666667,16.6666666667,0.0,2015.0
ACLAND STREET,5647.83333333,7375.0,167510.833333,-37.8667763333,144.978069,8949.66666667,7200.0,4600.0,4166.66666667,,2015.0
ADAIR STREET,9670.0,9349.5,169764.0,-37.104339,144.061451,6187.0,3605.0,635.0,675.0,85.0,2015.0
ADAMS STREET,4788.0,6789.0,166691.5,-36.735935,144.136939,8949.5,6537.0,1350.0,1450.0,275.0,2015.0
ADDERLEY STREET,6298.5,8299.5,169409.0,-37.812294,144.948978,9155.0,7203.0,940.0,850.0,100.0,2015.0
AIRPORT DR,12575.5,12255.0,174301.5,-37.7157895,144.875827,15208.0,2020.0,8700.0,7800.0,870.0,2015.0
AIRPORT DRIVE,3042.5,3293.5,163657.75,-37.71487725,144.8727955,3867.5,4785.0,8700.0,7800.0,870.0,2015.0
AITKEN STREET,9631.5,9311.0,169899.0,-37.486895,144.591385,6781.5,4194.0,5600.0,6000.0,280.0,2015.0
AITKIN STREET,4823.0,3324.0,164508.0,-37.18737,145.700616,4370.5,1073.0,1650.0,1750.0,220.0,2015.0
ALBERS ROAD,10609.0,10288.5,171152.5,-37.986774,145.403673,8876.0,7204.0,900.0,810.0,50.0,2015.0
ALBERT AVENUE,6770.25,8610.5,168741.75,-37.8533305,145.297065,9085.75,7205.5,5300.0,4800.0,610.0,2015.0
ALBERT ROAD,9065.08333333,7792.25,168647.666667,-37.5925103333,145.252029333,9196.58333333,3194.33333333,8316.66666667,7525.0,490.833333333,2015.0
ALBERT STREET,6108.775,6618.7,167343.225,-37.67091085,144.5597817,7633.6,6015.05,10207.5,9552.5,764.75,2015.0
ALBION STREET,6685.86666667,7424.93333333,167772.333333,-37.3725106667,144.9777596,8117.26666667,6208.2,3920.0,3586.66666667,363.333333333,2015.0
ALEXANDER BOULEVARD,7155.0,6656.0,168121.0,-38.318497,146.418523,8539.5,6010.0,2700.0,2900.0,230.0,2015.0
ALEXANDER PARADE,7196.5,6697.5,168322.25,-37.82450825,147.64317025,8362.5,6468.5,9950.0,10250.0,882.5,2015.0
ALEXANDERS ROAD,7090.25,6591.25,168124.75,-38.229856,146.4412355,8436.0,6017.5,3600.0,3850.0,485.0,2015.0
ALEXANDRA AVENUE,5704.35714286,6205.35714286,167008.928571,-37.9104634286,145.015891857,5992.85714286,4622.85714286,13757.1428571,12200.0,766.666666667,2015.0
ALEXANDRA PARADE,6373.07142857,5159.78571429,170420.785714,-37.7938781429,144.984955857,6459.14285714,1342.5,30200.0,27350.0,2190.0,2015.0
ALFRED STREET,5525.5,6026.5,166964.5,-38.16478325,145.9310855,6917.0,4845.5,9200.0,9800.0,627.5,2015.0
ALFRIEDA STREET,8111.0,9612.0,171247.0,-37.740618,144.801223,9353.5,7221.0,4500.0,4000.0,,2015.0
ALLAN STREET,5283.5,7284.5,169701.0,-36.31352,145.053332,6863.5,4135.0,1450.0,1550.0,145.0,2015.0
ALMA ROAD,6812.3125,8420.4375,169046.875,-37.837044,145.031826625,9272.625,7226.5,4879.375,4406.875,560.625,2015.0
ALTONA STREET,10629.5,10309.0,171155.5,-37.747051,145.052394,9160.0,7231.0,4500.0,4000.0,,2015.0
AMAROO ROAD,13032.5,12712.0,173662.0,-37.5839135,144.9424015,14915.5,911.0,3800.0,3400.0,,2015.0
ANAKIE ROAD,10633.0666667,10443.5333333,172313.733333,-38.0853560667,144.333007867,11492.4666667,4144.33333333,4460.0,4686.66666667,387.333333333,2015.0
ANDERSON ROAD,6362.33333333,6422.83333333,167199.416667,-37.7836798333,144.82775,6880.41666667,4635.5,8658.33333333,7791.66666667,639.166666667,2015.0
ANDERSON STREET,7287.2,6626.26666667,167312.266667,-37.6512674,145.278127267,6420.46666667,4240.0,5906.66666667,5299.33333333,460.0,2015.0
ANDERSONS CREEK ROAD,9030.5,8710.0,170787.0,-37.7653205,145.171914,8367.5,6113.5,3900.0,3475.0,222.5,2015.0
ANGLESEA ROAD,10896.0,10516.0,172664.0,-38.2767183333,144.2715955,12094.6666667,2613.66666667,4033.33333333,4266.66666667,271.666666667,2015.0
ANZAC AVENUE,7259.75,8510.75,169146.0,-37.0307665,145.14680925,9130.5,7038.5,4175.0,4450.0,337.5,2015.0
ANZAC PARADE,7060.16666667,7227.83333333,168693.166667,-36.1433193333,146.920414667,8965.0,6781.0,7033.33333333,7466.66666667,781.666666667,2015.0
ANZAC STREET,8105.0,7106.0,168280.0,-38.175033,146.265239,7032.5,4564.0,2450.0,2600.0,140.0,2015.0
APSLEY-NATIMUK ROAD,7857.375,6108.375,167214.75,-36.73536025,141.44359675,5805.875,3332.5,157.5,167.5,35.0,2015.0
AQUEDUCT ROAD,4873.5,6874.5,166766.5,-37.681669,145.131923,9174.0,7235.0,10500.0,9500.0,680.0,2015.0
ARARAT ROAD,7196.5,5697.5,167104.0,-37.091786,143.467002,5035.0,1115.0,570.0,605.0,110.0,2015.0
ARARAT-HALLS GAP ROAD,7933.5,6184.5,167130.0,-37.216736,142.663978,5528.5,2719.0,265.0,277.5,40.0,2015.0
ARARAT-STAWELL ROAD,10168.75,8348.25,169678.5,-37.07338375,142.79018025,6112.75,3720.5,872.5,922.5,70.0,2015.0
ARARAT-WARRNAMBOOL ROAD,6811.0,5145.33333333,165629.666667,-37.4750873333,142.861583333,5508.66666667,3204.0,498.333333333,528.333333333,118.333333333,2015.0
ARDEN STREET,6963.22222222,8599.11111111,169312.0,-37.8005313333,144.945939111,8975.44444444,7237.77777778,8733.33333333,7866.66666667,991.111111111,2015.0
ARMSTRONG STREET,8539.0,8540.0,169756.0,-36.2713,143.347627,6389.5,3703.0,140.0,150.0,25.0,2015.0
ARMY ROAD,5135.5,7303.16666667,167516.5,-38.052367,145.497713,8852.33333333,7242.33333333,3000.0,2700.0,190.0,2015.0
ARNOLD ROAD,10334.0,8513.5,169682.5,-36.601337,143.936321,6295.0,3666.0,125.0,130.0,20.0,2015.0
ARNOLD STREET,10371.5,8551.0,169730.5,-36.743799,144.274471,6447.5,3632.0,6300.0,6650.0,455.0,2015.0
ARRIVAL DRIVE,7769.66666667,8996.83333333,170028.166667,-37.6709156667,144.850967,9378.16666667,7246.0,22000.0,19666.6666667,1400.0,2015.0
ARTHUR STREET,7689.75,9030.0,169952.75,-37.7361065,144.803297,8692.5,7248.5,5400.0,4900.0,620.0,2015.0
