OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
12455,2520,WESTERN HWY,F, L1+L2+LT1,U,2,0,7.4,0,7.4
14150,2550,HUME HWY,R, L1+SR+L2+ROF1+ROFSHL+ROFSHR,S,2,0,7.6,1.5,9.1
9150,2510,PRINCES HWY,F, L1+L2+L3,A,3,0,10.8,0,10.8
2130,2040,MELTON HWY,F, L1+SR+L2+LBL,A,2,0,6.8,1,7.8
12456,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,4,6.8,5.2,16
14151,2570,MURRAY VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
120,2090,DANDENONG VALLEY HWY,R, L1+L2+RT1,U,2,0,8.7,0,8.7
9151,2510,PRINCES HWY,F, L1+L2+L3,A,3,0,10.8,0,10.8
14152,2570,MURRAY VALLEY HWY,R, L1+L2,S,2,0,8,0,8
12457,2550,HUME HWY,F, L1+SL+SR+L2+RON1+LIP+RONSHL,S,2,2.8,7.2,1.8,11.7
2131,2400,STATE (BELL/SPRINGVALE) HWY,F, L1+L2+L3,U,3,0,10.1,0,10.1
121,2090,DANDENONG VALLEY HWY,R, L1+SL+L2,S,2,2,7.4,0,9.4
9152,2500,PRINCES HWY,F, L1+SL+SR+L2,A,2,1.7,7.2,1.2,10.1
14153,2570,MURRAY VALLEY HWY,F, L1+SL+L2+LT1R+RT1R,S,2,2.4,7.2,0,9.6
2132,2110,WIMMERA HWY,F, L1+L2,S,2,0,6.8,0,6.8
12458,2530,CALDER HWY,F, L1+SR+L2+LPL+RPL,S,2,0,7.2,1.4,8.5
122,2300,MELBA HWY,F, L1+SL+SR+L2,S,2,2,7,1.7,10.7
9153,2510,PRINCES HWY,R, L1+SL+SR+L2,S,2,3,7.2,3.5,13.7
14154,2590,MIDLAND HWY,F, L1+SL+SR+L2+LT1,S,2,2.5,7.4,2.1,12
2133,2090,DANDENONG VALLEY HWY,R, L1+SL+L2,U,2,3.6,7.4,0,11
12459,2530,CALDER HWY,F, L1+SL+SR+L2+RON1+RON2+RONSHL+RONSHR,S,2,3.2,7.2,1.5,11.9
123,2000,MONASH FWY,F, L1+SL+SR+L2+L3+L4+L5+ROF1+ROF2,A,5,1,18,1,20
14155,2550,HUME HWY,R, L1+SR+L2+ROF1+ROFSHL+ROFSHR,S,2,0,7.6,1.5,9.1
9154,2510,PRINCES HWY,R, L1+L2+L3,A,3,0,10.5,0,10.5
2134,2300,MELBA HWY,F, L1+SL+SR+L2,S,2,2,6.8,2,10.8
14156,2580,SOUTH GIPPSLAND HWY,R, L1+L2+LPL,S,2,0,7,0,7
124,2290,WELLINGTON ROAD HWY,F, L1+SL+L2+L3+RT1,A,3,2,10.5,0,12.5
9155,2510,PRINCES HWY,F, L1+L2+L3+L4+RT1,A,4,0,12,0,12
