OBJECTID,LOCATION_ID,MIDPNT_LAT,MIDPNT_LON,HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,ALLVEHS_MMW,ALLVEH_CALC,ALLVEHS_AADT,TRUCKS_AADT,TRUCK_CALC,PER_TRUCKS,TWO_WAY_AADT,ALLVEH_AMPEAK,ALLVEH_PMPEAK,GROWTH_RATE,CI,YR,LABEL
3001,163538,-37.782193,145.563981,7537,3096, WARBURTON HIGHWAY btwn LUSATIA PARK ROAD & GEMBROOK-LAUNCHING PLACE ROAD,WEST BOUND,6400,E,5800,340,E,7%,"12,000",N/A,N/A,0.6%,+/-0.2%,2015,"5,800* (6% 340*) WEST BOUND"
3002,163539,-37.76027,145.394417,8064,3024, WARBURTON HIGHWAY btwn WARBURTON HIGHWAY & VICTORIA ROAD,NORTH WEST BOUND,5700,E,5100,350,E,8%,"10,000",N/A,N/A,0.5%,+/-0.3%,2015,"5,100* (7% 350*) NORTH WEST BOUND"
3003,163540,-37.809464,144.933434,7170,3458, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY Onramp & WESTERN LINK TOLLWAY,WEST BOUND,16000,E,14000,2400,E,19%,"30,000",N/A,N/A,1.1%,+/-0.6%,2015,"14,000* (16% 2,400*) WEST BOUND"
3004,163541,-37.821031,144.888992,7548,3370, FRANCIS STREET btwn WILLIAMSTOWN ROAD & HYDE STREET,WEST BOUND,10000,E,9100,1900,E,25%,"16,000",N/A,N/A,1%,+/-0.2%,2015,"9,100* (22% 1,900*) WEST BOUND"
3005,163737,-37.781552,145.431946,8063,3040, WARBURTON HIGHWAY btwn CLEGG ROAD & BEENAK ROAD,WEST BOUND,7500,E,6700,420,E,7%,"13,000",N/A,N/A,0.5%,+/-0.2%,2015,"6,700* (6% 420*) WEST BOUND"
3006,163738,-37.809525,144.933937,7169,3480, FOOTSCRAY ROAD btwn WESTERN LINK TOLLWAY & WESTERN LINK TOLLWAY Onramp,WEST BOUND,15000,E,13000,2100,E,19%,"30,000",N/A,N/A,-0.2%,+/-0.2%,2015,"13,000* (16% 2,100*) WEST BOUND"
3007,163739,-37.811824,144.901163,7546,3392, WHITEHALL STREET btwn SOMERVILLE ROAD & MORELAND STREET,SOUTH BOUND,10000,A,9400,520,E,6%,"19,000",490,"1,000",-0.2%,+/-0.2%,2015,"9,400 (5% 520*) SOUTH BOUND"
3008,163740,-37.772461,144.990392,7172,3618, ST GEORGES ROAD btwn ARTHURTON ROAD & MERRI PARADE,NORTH BOUND,17000,A,15000,860,E,6%,"32,000",810,"1,200",0.3%,+/-0.6%,2015,"15,000 (5% 860*) NORTH BOUND"
3009,163741,-37.721037,145.033967,7550,3671, PLENTY ROAD btwn KINGSBURY DRIVE & PLENTY ROAD,EAST BOUND,17000,E,16000,880,E,6%,"32,000",N/A,N/A,-0.2%,+/-0.2%,2015,"16,000* (5% 880*) EAST BOUND"
3010,163742,-38.359459,146.745035,7553,3946, YARRAM-TRARALGON ROAD btwn CARRAJUNG-WOODSIDE ROAD & GRAND RIDGE ROAD,NORTH WEST BOUND,720,E,760,150,E,25%,"1,500",N/A,N/A,2.7%,+/-1.2%,2015,760* (20% 150*) NORTH WEST BOUND
